source,target
"dear mrs maria smith,","dear mrs maria smith,"
thank you for your letter about the international student conference.,thank you for your letter about the international student conference.
it takes 5 minutes from the station.,it takes 5 minutes from the station.
"when you get here, just turn to the left and you will find the stadium where the conference will be held.","when you get here, just turn to the left and you will find the stadium where the conference will be held."
i am looking forward to meeting you.,i am looking forward to meeting you.
"yours sincerely,","yours sincerely,"
to: student from the united states,to: student from the united states
from: juli,from: juli
the aim of this report is to describe the haunted castle in camberley.,the aim of this report is to describe the haunted castle in camberley.
place,place
this castle is situated in the centre of the town and surrounded by woods.,this castle is situated in the centre of the town and surrounded by woods.
story,story
"it is 500 years old, and it is said to be haunted by a lady ghost.","it is 500 years old, and it is said to be haunted by a lady ghost."
it is believed that she was a nanny who worked there and fell out of the window.,it is believed that she was a nanny who worked there and fell out of the window.
conclusion,conclusion
dear mrs smith:,dear mrs smith:
i'm sure you would acquire a lot of knowledge there.,i'm sure you would acquire a lot of knowledge there.
i'm looking forward to meeting you.,i'm looking forward to meeting you.
best wishes.,best wishes.
best choice,best choice
welcome to london.,welcome to london.
one of the reasons is you can learn almost everything about british history there.,one of the reasons is you can learn almost everything about british history there.
"the british hall is on the first floor, not far from the library.","the british hall is on the first floor, not far from the library."
it shows a large number of valuable things.,it shows a large number of valuable things.
i'm sure all the students will gain a wonderful lesson!,i'm sure all the students will gain a wonderful lesson!
don't be hesitant any more!,don't be hesitant any more!
dear mrs smith.,dear mrs smith.
"with reference to the end-of-conference party, which is going to take place on tuesday from 8:00 until midnight, i would like to mention the necessary dress code.","with reference to the end-of-conference party, which is going to take place on tuesday from 8:00 until midnight, i would like to mention the necessary dress code."
yours sincerely,yours sincerely
also not least importantly is the role of computers in the process of production in factories around the world.,also not least importantly is the role of computers in the process of production in factories around the world.
on the other hand there are some disadvantages.,on the other hand there are some disadvantages.
"dear maria smith,","dear maria smith,"
"first of all, the group has been booked into the palace hotel.","first of all, the group has been booked into the palace hotel."
it is a big hotel because there will be a lot of people.,it is a big hotel because there will be a lot of people.
"next to the restaurant, there is a disco for people who like dancing.","next to the restaurant, there is a disco for people who like dancing."
i find television the most important invention.,i find television the most important invention.
"dear maria,","dear maria,"
"yours sincerely,","yours sincerely,"
time flies,time flies
"neuchâtel, 12th june 2001","neuchâtel, 12th june 2001"
"dear mrs smith,","dear mrs smith,"
to go to the conference from your hotel is really easy.,to go to the conference from your hotel is really easy.
"report on the ""paintings museum""","report on the ""paintings museum"""
"in order to write this report, i spent hours in this wonderful museum.","in order to write this report, i spent hours in this wonderful museum."
i walked around the garden too.,i walked around the garden too.
location,location
outside,outside
the building is made of white stones.,the building is made of white stones.
it has two floors.,it has two floors.
"there, ponds, pools, trees, flowers and ducks can be admired.","there, ponds, pools, trees, flowers and ducks can be admired."
inside,inside
"when you are inside the museum, you will be impressed by the paintings on the walls.","when you are inside the museum, you will be impressed by the paintings on the walls."
"to learn the whole history of the building, there is a room dedicated to it on the first floor.","to learn the whole history of the building, there is a room dedicated to it on the first floor."
"i particularly recommend you to visit the ""blue"" room.","i particularly recommend you to visit the ""blue"" room."
"everything in this room is blue, the carpet, the ceiling and even the door.","everything in this room is blue, the carpet, the ceiling and even the door."
"according to the owner, it was a room where in the past people used to go when they were depressed.","according to the owner, it was a room where in the past people used to go when they were depressed."
conclusion,conclusion
"to sum up, i would like to add that this house is the most famous in our city.","to sum up, i would like to add that this house is the most famous in our city."
you should come and visit it for the paintings or for the building itself.,you should come and visit it for the paintings or for the building itself.
you won't be disappointed.,you won't be disappointed.
"dear mrs smith,","dear mrs smith,"
i look forward to seeing you.,i look forward to seeing you.
"yours sincerely,","yours sincerely,"
to: leader of the group of american students,to: leader of the group of american students
from:,from:
date: 12.06.2001.,date: 12.06.2001.
introduction:,introduction:
general information:,general information:
facilities:,facilities:
.,.
.,.
there is also a portrait gallery in the left wing of the palace.,there is also a portrait gallery in the left wing of the palace.
.,.
.,.
positive points,positive points
.,.
.,.
.,.
negative points,negative points
.,.
.,.
conclusion:,conclusion:
"despite the few drawbacks, i would strongly recommend the royal palace as the most suitable place to visit for the foreign students.","despite the few drawbacks, i would strongly recommend the royal palace as the most suitable place to visit for the foreign students."
dear mrs smith,dear mrs smith
"i have received your letter, which was about that you would like me to inform you.","i have received your letter, which was about that you would like me to inform you."
the best way to get from there to the conference is to take a taxi.,the best way to get from there to the conference is to take a taxi.
i am afraid there are no buses to get there.,i am afraid there are no buses to get there.
we will have a great party at the end of the conference.,we will have a great party at the end of the conference.
"in my area there is a fantastic park, which is the most famous park in the country.","in my area there is a fantastic park, which is the most famous park in the country."
you can find a lot of things to do or to see.,you can find a lot of things to do or to see.
you can visit the zoo or walk around the amazing lake in the park.,you can visit the zoo or walk around the amazing lake in the park.
how much can a computer affect your life?,how much can a computer affect your life?
"when i was a child i always wanted to get the lyrics of the songs that i liked, but it was nearly impossible to have them.","when i was a child i always wanted to get the lyrics of the songs that i liked, but it was nearly impossible to have them."
linking to the internet was so popular.,linking to the internet was so popular.
i wasn't able to imagine this before.,i wasn't able to imagine this before.
to: mrs. smith,to: mrs. smith
"if any further discussion, please let me know.","if any further discussion, please let me know."
"how wonderful ""light""","how wonderful ""light"""
12.06.2001,12.06.2001
"in addition, i suggest that they should wear sporty and comfortable clothes.","in addition, i suggest that they should wear sporty and comfortable clothes."
i think you can go to the 'dreamland'.,i think you can go to the 'dreamland'.
i look forward to hearing from you.,i look forward to hearing from you.
from: ...,from: ...
re: information on an interesting building to visit,re: information on an interesting building to visit
introduction,introduction
here is my report for american students who want information on an interesting building to visit in ankara.,here is my report for american students who want information on an interesting building to visit in ankara.
i would like to describe 'anitkabir',i would like to describe 'anitkabir'
findings,findings
1.,1.
this building's name is 'anitkabir' and it is the biggest building in ankara.,this building's name is 'anitkabir' and it is the biggest building in ankara.
2.,2.
3.,3.
this building's security guards are very special soldiers.,this building's security guards are very special soldiers.
4.,4.
recommendations,recommendations
"dear mrs maria smith,","dear mrs maria smith,"
thank you for your letter which i received last week.,thank you for your letter which i received last week.
you can take buses or our school buses.,you can take buses or our school buses.
it costs forty pence.,it costs forty pence.
i hope that my advice will help you.,i hope that my advice will help you.
yours sincerely,yours sincerely
pusan castle,pusan castle
inventions have affected all our lives,inventions have affected all our lives
"dear maria,","dear maria,"
they are going to leave at 9 o'clock.,they are going to leave at 9 o'clock.
"dear jhon,","dear jhon,"
"i suggest you visit first the cathedral of ""le seu d'mrgell"" because it is the most emblematic building in the area.","i suggest you visit first the cathedral of ""le seu d'mrgell"" because it is the most emblematic building in the area."
best regards,best regards
i got your letter this morning and i am very pleased to give you some information.,i got your letter this morning and i am very pleased to give you some information.
there will be three parts.,there will be three parts.
so you can wear what you like.,so you can wear what you like.
it is £12 each and there is a reduction for groups.,it is £12 each and there is a reduction for groups.
"yours sincerely,","yours sincerely,"
none of them are unimportant for us.,none of them are unimportant for us.
but i think the invention of electricity is the most important thing among them.,but i think the invention of electricity is the most important thing among them.
"if you look around at home, there are a lot of electric things.","if you look around at home, there are a lot of electric things."
"it also gave us more free time, especially for women.","it also gave us more free time, especially for women."
it could reduce our working time and make us enjoyable.,it could reduce our working time and make us enjoyable.
it is also advancing more and more.,it is also advancing more and more.
"dear mrs smith,","dear mrs smith,"
"at the end of the conference, we will have a party.","at the end of the conference, we will have a party."
the party will be in the dance hall next to the conference room.,the party will be in the dance hall next to the conference room.
"dear group leader,","dear group leader,"
welcome to taiwan.,welcome to taiwan.
