source,target
"12, june, 2001","12 june, 2001"
here are answers for your questions.,here are the answers to your questions.
"you will stay in the palace hotel, which is situated in front of the railway station, camberley.","you will stay in the palace hotel, which is situated opposite the railway station, camberley."
"to get the conference, you catch the coach no.7 from the station and get off at the camberley college bus stop.","to get to the conference, you catch the no.7 coach from the station and get off at the camberley college bus stop."
"the end-of-conference party will be held at the cafeteria in the college, which is next to the stadium.","the end-of-conference party will be held in the cafeteria in the college, which is next to the stadium."
it starts at 18 p.m. and ends at 22 pm.,it starts at 6 p.m. and ends at 10 pm.
we will prepare traditional english meals and some students from foreign country will prepare their ethnic foods.,we will prepare traditional english meals and some students from foreign countries will prepare their ethnic foods.
inside of the castle is always dark even in daytime.,"the inside of the castle is always dark, even in the daytime."
she appears occationaly and opens every window in the castle.,she appears occasionally and opens every window in the castle.
people said she was seeking something and still seeking even if she had dead for 500 years.,people said she was seeking something and is still seeking it even though she has been dead for 500 years.
"the ghost story may not be true, but it has good furniture of 16th century, and the castle itself is very beautiful.","the ghost story may not be true, but it has good furniture from the 16th century, and the castle itself is very beautiful."
i think it is worth while to see .,i think it is worthwhile seeing it.
i hope you'll enjoy visiting there.,i hope you'll enjoy going there.
"as for the end-of-conference party, it will be on the morning of the last day starting at 9:00.","as for the end-of-conference party, it will be on the morning of the last day, starting at 9:00."
all the students and staffs will join together in the hall.,all the students and staff will attend together in the hall.
they can play games and talk about personal experience.,they can play games and talk about their personal experiences.
the main aim of it is to deepen the friendship among all these pupils coming from all over the world.,the main aim of this is to strengthen the friendship among all these pupils coming from all over the world.
so it would be fine if you wear casual clothes and look smart.,so it would be fine if you wore casual clothes and looked smart.
i have made arrangement for the afternoon on the last day for you.,i have made arrangements for the afternoon on the last day for you.
if you are free i will show you arround our college.,if you are free i will show you around our college.
you can visit our newly-built science lab as well.,you can visit our newly built science lab as well.
you asked me for an interesting building to visit.,you asked me about an interesting building to visit.
"in my opinion, i'll recommend british museum.","in my opinion, i recommend the british museum."
"the museum looks very old as some other buildings in london, but it is very modern inside.","the museum looks very old, like some other buildings in london, but it is very modern inside."
"after going through the enormous main door, you can see a huge white round building which is a library.","after going through the enormous main door, you can see a huge round white building, which is a library."
a lot of famous people have been to this library before!,a lot of famous people have been to this library !
almost each one tells you a story or gives you a picture about british history.,almost every one tells you a story or gives you a picture of british history.
"apart from the national history, there are more content about the past of the world.","apart from national history, there are more contents about the history of the world."
"you can go to many sections such as asia hall, egypt hall, europe hall and so on.","you can go to many sections such as the asian hall, egyptian hall, european hall and so on."
countless fascinating things will definely take you the whole day to appreciate.,the countless fascinating things will definitely take you the whole day to appreciate.
"after a visit to british museum, you will be certainly able to put your history textbook away!","after a visit to the british museum, you will certainly be able to put your history textbook away!"
"also you don't have to pay any money for it, and the transport is extremely convenient, therefore british museum is your best choice.","also you don't have to pay any money for it, and the transport is extremely convenient, therefore the british museum is your best choice."
i am writing in response to your letter in order to give you some further information about the international student conference in our college.,i am writing in response to your letter in order to give you some further information about the international student conference at our college.
i would like to inform you that your group has been booked into palace hotel.,i would like to inform you that your group has been booked into the palace hotel.
"it is situated in the center of our town and it takes five minutes to get to the college, where the conference is going to be held.","it is situated in the centre of our town and it takes five minutes to get to the college, where the conference is going to be held."
i think that the best choise for you is to take the 234 bus.,i think that the best choice for you is to take the 234 bus.
"the bus stop you should get off is called ""the green man"".","the bus stop where you should get off is called ""the green man""."
"it is an evening dress for women and black trousers, a white shirt and a black bow tie for men.","it is evening dress for women and black trousers, a white shirt and a black bow tie for men."
"lastly, i would like to give you some suggestions about way in which you can spend your free time in our town.","lastly, i would like to give you some suggestions about ways in which you can spend your free time in our town."
"i am strongly convinced, that you should visit local science museum.",i am strongly convinced that you should visit the local science museum.
also there is a very good shopping center next to the museum.,also there is a very good shopping centre next to the museum.
i look forward to seeing your at the conference and hope that you will have a good time in our town.,i look forward to seeing you at the conference and hope that you will have a good time in our town.
"as it is widely known, lots of different and important things were invented during the 20th century, nevertheless i believe that the most important one is the computer.","as is widely known, lots of different and important things were invented during the 20th century, nevertheless i believe that the most important one is the computer."
"it is a fact, that the modern society have created the demand for the ability to cope with the vast amounts of information.",it is a fact that modern society has created the demand for an ability to cope with vast amounts of information.
"taking it into consideration i would like to say that the computer is the priceless invention for an accountants, designers, engineers and so on and on.","taking that into consideration i would like to say that the computer is a priceless invention for accountants, designers, engineers and so on ."
another point in is the possibility to connect to the internet.,another advantage is their ability to connect to the internet.
"it allows you to have all the necessary information ""on your fingertips"".","it allows you to have all the necessary information ""at your fingertips""."
"for instance a lot of children nowadays replace their real life with the virtual world, which computers create.",for instance a lot of children nowadays replace their real life with a virtual world which computers create.
"another drawback is that in industry computers replace people's labour, which leads to the increasing of unemployment.","another drawback is that in industry computers replace people's labour, which leads to increasing unemployment."
"to conclude i would like to say that the goverments of all developed countries wouldn't have been so concerned about so-called ""problem 2000"" if the computer had not been so important for the modern society.","to conclude i would like to say that the governments of all developed countries wouldn't have been so concerned about the so-called ""problem 2000"" if the computer had not been so important for modern society."
it has a swimming-pool and a nice bar.,it has a swimming pool and a nice bar.
the hotel is ten minutes far from the conference and there will be a bus available to go directly over there.,the hotel is ten minutes away from the conference centre and there will be a bus available to go directly over there.
"at the end of the conference, there will be a dinner in a luxurious restaurant so people must have nice clothes; jean's is not allowed.","at the end of the conference there will be a dinner in a luxurious restaurant, so people must have nice clothes; jeans are not allowed."
i think it's good for old people because some of them cannot go to the cinema anymore.,i think it's good for old people because some of them cannot go to the cinema any more.
in one hand it's because they have not enough money to pay it and in the other hand it's because they can't move very well for example if they are disabled.,"on the one hand that's because they haven't enough money to pay for it and on the other hand it's because they can't move very well, for example if they are disabled."
"with television, old people are less alone because most of old woman have not her husband anymore.","with television, old people are less alone because most old women don't have their husbands any more."
television is a good way to be informed with the news.,television is a good way to be informed about the news.
"i prefer being informed by television than by newspapers, it's more relaxing.",i prefer being informed by television than by newspapers; it's more relaxing.
i would be pleased to help you about all your questions and i will provide you some information which you need as much as i can.,i would be pleased to help you with all your questions and i will provide you with the information which you need as far as i can.
i would like to inform you that centeral red lion hotel has been booked for the accomadation of the group and it will be quite easy to get every where from the hotel on foot during your stay.,i would like to inform you that centeral red lion hotel has been booked for the accommodation of the group and it will be quite easy to get everywhere on foot from the hotel during your stay.
"as you know that we arrange an evening party on the third day of the week, we can say that a kind of relaxation time.","as you know, we are arranging an evening party on the third day of the week, we can say that it is a kind of relaxation time."
nothing will be spacial.,nothing will be special.
place is college garden.,the place is the college garden.
time is 7 pm.,the time is 7 pm.
there is no need to bother about clouths.,there is no need to bother about clothes.
everybody can put on something casual.,everybody can wear something casual.
befor leav from england i suggest you to visit the cannals and small villages around basingstoke.,"before you leave england, i suggest you visit the canals and small villages around basingstoke."
you could find the opportunaty to see the country life.,you could have the opportunity to see the country life.
i have to admit that whoever invented the cars and transportation vehicles did the most respectable invention of the word.,i have to admit that whoever invented cars and transportation vehicles came up with the most respectable inventions of the world.
i say that it must be the most important thing for us because they save our times passing so fast.,i say that they must be the most important things for us because they save our time passing so fast.
can you deny how quickly we get somewhere by car or by bus.,can you deny how quickly we get somewhere by car or by bus?
may be 10 times as quick as getting somewhere on foot.,maybeit is maybe 10 times as quick as getting somewhere on foot.
try to imagine your life without having anyof them.,try to imagine your life without having any of them.
wouldn't be unbarable and painful.,wouldn't it be unbearable and painful?
i thank you for your recent letter.,thank you for your recent letter.
"first, i would like to congratulate on your new responsability, because of mr brown's illness.","first, i would like to congratulate you on your new responsibility, because of mr brown's illness."
i give you with great pleasure all the details needed.,i will give you with great pleasure all the details needed.
