source,target
"""agriculture"" in indonesia is in the middle place and the last one is under ""industry"" control. ","""agriculture"" in indonesia is in the second place and the last one is under ""industry"" control. "
"""mother should take care of her own child at first"", by this quote we simply can see that problems of government's own country should be placed on the first position. ","""mother should take care of her own child at first"", by this quote we simply can see that problems of government's own country should be placed in the first place. "
(12 million visitors) the second country was spain with 9 million british residents. ,(12 million visitors) the second country was spain with 9 million british holiday-makers. 
(in 2020 it became 13 percent ). ,(in 2020 it will be 13 percent ). 
"(the destination between moscow and saint petersburg, for instance, can be easily overcame by ""lastochka"" train for 5 hours). ","(the distance between moscow and saint petersburg, for instance, can be easily overcame by ""lastochka"" train for 5 hours). "
")statement, is an extremely clear difference: there are too many men on a tech subjects, and on the other hand: too many women on civil subjects. ",")statement, is an extremely clear difference: there are too many men on a tech subjects, and on the other hand: too many women on humanities. "
"11,5 percent and 34,0 percent and 2000 14,3 percent and 50.1 percent the group from 15 to 59 years in italy at start of 21th century was more than a half at all population, but in 50 years situation will be showing and rate will be less when 50 percent (46,2 percent ). ","11,5 percent and 34,0 percent and 2000 14,3 percent and 50.1 percent the group from 15 to 59 years in italy at start of 21th century was more than a half at all population, but in 50 years situation will be showing and rate will be lower when 50 percent (46,2 percent ). "
"12 percent of all goods transported by railroads consisted of machinery, yet this number was far lower within the area of goods transported by roads and constituted only 2 percent of the cargo. ","12 percent of all goods transported by railroads consisted of machinery, yet this number was far lower within the category of goods transported by roads and constituted only 2 percent of the cargo. "
"142 japan and sweden part of elders has grown up in period between 1980 and nowadays, nevertheless usa keeps the same level. ","142 japan and sweden the share of elders has grown up in period between 1980 and nowadays, nevertheless usa has maintained the same level. "
"15 years later, in 2005, the amount of boys who did regular physical activity was just under 90 per cent, while the number of girls was 10 per cent less and the percentage was approximately 80 per cent. ","15 years later, in 2005, the percentage of boys who did regular physical activity was just under 90 per cent, while the number of girls was 10 per cent less and the percentage was approximately 80 per cent. "
"15-59 years people in yemen are increasing, while in italy this number decreases. ","15-59 years old people in yemen are increasing, while in italy this number decreases. "
16 percent of roads are busy by chemicals. ,16 percent of roads are used for the transportation of chemicals. 
2013 the amount of mobile facebook users has a big increase and there were about 100 millions of people who preferred to use their mobile device to access to facebook. ,2013 the number of mobile facebook users has a big increase and there were about 100 millions of people who preferred to use their mobile device to access to facebook. 
2013 year is a key one. ,2013  is a key year. 
"3 other regions: n. africa, s. asia and worldwide remained stable, but only middle east rating got worse. ","3 other regions: n. africa, s. asia and worldwide remained stable, but only middle east rate got worse. "
"3 regions had the similar values in this period, but 1 region had a little change in his percentage numbers. ","3 regions had the similar values in this period, but 1 region had a little change in his percentages. "
"3) latin america is having a big increase in gdp., reaching new peaks and creating working seats they decrease the unemployment. ","3) latin america is having a big increase in gdp., reaching new peaks and creating working places they reduced the unemployment. "
"3,6 percent are people have age 60 plus years. ","3,6 percent are people have age 60 plus years old. "
"30 percent of people from age 26 to 40 visit science courses, which is equal to the percentage of people from 18 to 25 attending art courses. ","30 percent of people from age 26 to 40 attended science courses, which is equal to the percentage of people from 18 to 25 attending art courses. "
30 percent of the chart takes young people and 25 percent comes to 26-40 years old students. ,30 percent of the chart are made up by young people and 25 percent are 26-40 years old students. 
"35 percent of products that are transported by rail are metals, but metals represent only 11 percent of goods transported by road. ","35 percent of products that are transported by rail are metals, but metals accounted for only 11 percent of goods transported by road. "
40 year old and about 20 years old students have the same position (around 20 percent ). ,40 year old and about 20 years old students make up the same proportion (around 20 percent ). 
"40 years old and above are mostly interested in arts courses and they are the biggest group in this course, which is 40 percent of all comers. ","people aged 40 years and older are mostly interested in arts courses and they are the biggest group in this course, which is 40 percent of all attenders. "
"40 percent of women had undergraduate diploma, that is the compare piece of undergraduate diploma in mens range. ","40 percent of women had undergraduate diploma, in comparison with piece of undergraduate diploma for men. "
"5,8 percent is also smaller rate, than in the world this year. ","5,8 percent is also lower rate, than in the world this year. "
5.5 millions of boys and the same amount of girls had not got access to primary schools in 2012. ,5.5 millions of boys and the same number of girls had not got access to primary schools in 2012. 
"60 plus year people accounted for 24,1 percent in 2000, and it is expected to increase by 42,3 percent . ","60 plus years old people accounted for 24,1 percent in 2000, and it is expected to increase by 42,3 percent . "
60 plus years. ,60 plus years old. 
62 percent of 26-40 year-old students are involved in this type of courses which is significantly more than the number of younger students. ,62 percent of 26-40 year-old students are involved in this type of courses which is significantly higher than the number of younger students. 
"73 percent of them prefer facebook, 25 percent use instagram and 31 percent goes to linkedin. ","73 percent of them prefer facebook, 25 percent use instagram and 31 percent favour linkedin. "
