text_name,Error_type,Error_span,Correction,Error_sentence
2014_AAl_10_1.txt,Choice of lexical item,incline,increase,"After a stable period, we see a huge incline that would occur in Japan from 2020 to 2040. "
2014_AAl_10_1.txt,Choice of lexical item,old,elderly,"USA, however, had bigger part of old people throughout the century, having 10% in 1960 and even 15% in 1980, but the overall part would be below Japanese in 2040, when 25% would be 65 and older. "
2014_AAl_10_1.txt,Word choice,Sweden chart,The graph for Sweden,"Sweden chart is almost equal to the US one, only big discrepancy is 20% in 2020 in Sweden versus below 15% in the US. "
2014_AAl_10_1.txt,Choice of lexical item,visualize,demonstrates,"Given diagram visualize the proportion of population aged 65 and over in Japan, Sweden and the United States from 1940 to 2040. "
2014_AAl_10_1.txt,Choice of lexical item,part,percentage,"USA, however, had bigger part of old people throughout the century, having 10% in 1960 and even 15% in 1980, but the overall part would be below Japanese in 2040, when 25% would be 65 and older. "
2014_AAl_10_2.txt,Word choice,strained,,"Why would a girl student care about the exams while she can go into the elite tech colleges, and be accepted only because she is a girl, and a gender equality needs to be strained. "
2014_AAl_10_2.txt,"Change, addition, deletion of a part of collocation",is,,"As a whole, men are more physically developed, and more capable of doing a repeatable mechanical work is much easier for them, such as clothing is . "
2014_AAl_10_2.txt,Word choice,were always,always had,"Throughout the history, men and women were always distinct male jobs from female jobs, and the reason was not the stereotypes, but biological features. "
2014_AAl_10_2.txt,Word choice,girl,female,"Why would a girl student care about the exams while she can go into the elite tech colleges, and be accepted only because she is a girl, and a gender equality needs to be strained. "
2014_AAl_10_2.txt,Choice of lexical item,skills,a potential,"However, there always are deviations, and we must respect them, if a woman wants to become a mathematician, and has skills in mathematics, we should never limit her ambitions. "
2014_AAl_11_1.txt,"Change, addition, deletion of a part of collocation",years,,These periods are in 1940-1960 years in the USA; in 1980-2020 years in Japan and the period between near 2015 and 2030 in Sweden. 
2014_AAl_11_1.txt,Choice of lexical item,diagramm,the graph,It should be mentioned that diagram shows great increase of the population aged 65 and over in short period of time in Japan between 2030 and 2035 years. 
2014_AAl_11_1.txt,Choice of lexical item,consist,reaches,The percentage of population develops in equal way in the USA and Sweden from 1940 to 1990 and it consist 9 percent and 7 percent. 
2014_AAl_11_1.txt,"Change, addition, deletion of a part of collocation",population,population sector,The graph presents data relating to population of 65 and over aged. 
2014_AAl_11_1.txt,"Change, addition, deletion of a part of collocation",years,,"From the graph it can be noted that the proportion of the population aged 65 and over increases from 1940 to 2040 years in all countries, which are presented. "
2014_AAl_11_1.txt,"Change, addition, deletion of a part of collocation",years,,These periods are in 1940-1960 years in the USA; in 1980-2020 years in Japan and the period between near 2015 and 2030 in Sweden. 
2014_AAl_11_1.txt,Choice of lexical item,equal,the same,The percentage of population develops in equal way in the USA and Sweden from 1940 to 1990 and it consist 9 percent and 7 percent. 
2014_AAl_11_2.txt,Word choice,for help in higher way,for more help,"For example, girls move attentively than boys, they ready for help in higher way. "
2014_AAl_11_2.txt,Choice of lexical item,is,constitutes,Also it is reason for self-developing. 
2014_AAl_11_2.txt,Choice of lexical item,founded,found,"In different scientific articles or materials it can be founded, that male and female has different types and strategies of thinking. "
